country_code,date_year,life_expectancy,infant_mortality,death_rate,fertility_rate,population_total,health_expenditure_pct_gdp,hospital_beds_per_1000,gdp_usd,gdp_per_capita_usd,gdp_growth_percent,gnp_per_capita_usd,inflation_percent,unemployment_percent,literacy_rate,education_expenditure_pct_gdp,population_growth_percent,poverty_headcount_1_90,income_share_top_20,climate_disaster_impact_percent
CAN,1975,73.5217073170732,14.1,7.3,1.824,23143275,,,174419757176.563,7536.52009823861,1.5454033263216,8020,10.672188595094,,,6.42131996154785,1.45942491323998,1.7,23.4,
CAN,1976,73.8560975609756,13.3,7.2,1.796,23449808,,6.90000009536743,207271612576.065,8838.94710677652,5.88927586333716,8780,7.54173862982148,,,6.69842004776001,1.31580656558804,,,
CAN,1977,74.2156097560976,12.5,7.1,1.782,23725843,,6.90000009536743,212325176304.654,8949.10989272982,3.53482660580218,9130,7.9764453961457,,,6.71091985702515,1.17025687783266,1.5,23.6,
CAN,1978,74.529756097561,11.7,7.1,1.768,23963203,,6.90000009536743,219369542386.254,9154.43325277735,3.73597638764802,9750,8.97372335151214,,,7.07383012771606,0.99545694441135,,,
CAN,1979,74.8663414634146,11.0,7.0,1.754,24201544,,6.80000019073486,243891124295.715,10077.5026707269,3.72519949149593,10600,9.14467697907181,,,6.69220018386841,0.989698733234704,1.2,23.6,
CAN,1980,75.1021951219512,10.3,7.1,1.74,24515667,,6.80000019073486,274776566028.053,11208.2027394178,2.17719921287991,11600,10.1292205085453,,,6.46289014816284,1.28959497847156,,,
CAN,1981,75.4978048780488,9.7,7.0,1.7,24819915,,6.90000009536743,307246642755.859,12379.0368643833,3.41506518150013,12370,12.4716124148372,,,6.409019947052,1.23339725480528,1.0,23.5,
CAN,1982,75.7251219512195,9.2,7.1,1.69,25116942,,6.80000019073486,314647807408.608,12527.3135323802,-3.16615022065891,11900,10.7689718997139,,,6.49725008010864,1.18962434077573,0.7,23.2,
CAN,1983,76.0604878048781,8.7,7.0,1.68,25366451,,6.80000019073486,341866277182.733,13477.1031699599,2.56225358775578,12180,5.86358802977368,,,6.85547018051147,0.988487567147771,,,
CAN,1984,76.3319512195122,8.3,7.0,1.65,25607053,,6.80000019073486,356718400123.543,13930.4745502555,5.8985694010334,13150,4.30477830391737,,,6.61841011047363,0.944034716041094,1.0,23.2,
CAN,1985,76.3273170731707,8.0,7.0,1.67,25842116,,6.80000019073486,366186012449.652,14170.1249406067,4.73768081475092,13940,3.96203054065205,,,6.18943023681641,0.91377427539001,0.7,23.1,
CAN,1986,76.4639024390244,7.7,7.2,1.675,26100278,,6.69999980926514,379006836991.724,14521.1800806,2.12148083355379,14560,4.19478629085621,,,6.02058982849121,0.994040150630969,1.0,23.3,
CAN,1987,76.7787804878049,7.5,7.2,1.68,26446601,,6.59999990463257,433134238310.709,16377.6902109541,4.07201574110678,16320,4.3561087122174,,,6.29827976226807,1.31816778174498,0.5,23.2,
CAN,1988,76.8587804878049,7.3,7.3,1.68,26791747,,6.5,509380027626.554,19012.5723278349,4.41083900341744,18620,4.02823414871611,,,6.15022993087769,1.29662488995999,0.7,23.3,
CAN,1989,77.1248780487805,7.0,7.3,1.77,27276781,,6.30000019073486,567211993243.243,20794.682233334,2.33732975738413,19860,4.98362189985958,,,6.07406997680664,1.79419351491939,1.2,23.4,
CAN,1990,77.4365853658537,6.8,7.3,1.83,27691138,,6.0,596075591360.987,21525.8611387148,0.202947874139198,20650,4.78047693336304,,,5.96922016143799,1.50766067284807,1.2,23.4,
CAN,1991,77.5934146341464,6.6,7.0,1.72,28037420,,5.8000001907,612527712315.615,21846.7930471354,-2.0910550979319,20990,5.62586408593005,10.316,,6.85951995849609,1.24276123131684,1.2,23.4,
CAN,1992,77.8380487804878,6.4,6.9,1.71,28371264,,5.5,594387358318.855,20950.3305287651,0.890466180427183,21420,1.49013290374545,11.197,,6.74663019180298,1.18367554138942,0.7,23.3,
CAN,1993,77.7048780487805,6.2,7.1,1.69,28684764,,5.4000000954,579053561739.4,20186.7988782965,2.65770691557481,21270,1.86507936507939,11.377,,7.67834997177124,1.09893087887878,1.2,23.4,
CAN,1994,77.8717073170732,6.0,7.1,1.69,29000663,,,579944346807.264,19997.6237373354,4.49404929532982,20890,0.165562913907291,10.395,,6.65829992294312,1.09525810706129,1.0,23.3,
CAN,1995,77.9773170731707,5.8,7.2,1.67,29302311,,5.0,605961090061.207,20679.634792669,2.68232822733793,20850,2.14876033057849,9.489,,6.30476999282837,1.03476948386834,0.7,23.3,
